subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object
Armenia,part-of-continent,Europe,P30,Armenia is a part of the continent of,Armenia is a part of the continent of Europe,Armenia is a part of the continent of Antarctica,Antarctica
Djibouti,part-of-continent,Africa,P30,Djibouti is a part of the continent of,Djibouti is a part of the continent of Africa,Djibouti is a part of the continent of Antarctica,Antarctica
Bowman Glacier,part-of-continent,Antarctica,P30,Bowman Glacier is a part of the continent of,Bowman Glacier is a part of the continent of Antarctica,Bowman Glacier is a part of the continent of Africa,Africa
Montenegro,part-of-continent,Europe,P30,Montenegro is a part of the continent of,Montenegro is a part of the continent of Europe,Montenegro is a part of the continent of Africa,Africa
Tallinn,part-of-continent,Europe,P30,Tallinn is a part of the continent of,Tallinn is a part of the continent of Europe,Tallinn is a part of the continent of Asia,Asia
Loire,belong-to-continent,Europe,P30,Loire belongs to the continent of,Loire belongs to the continent of Europe,Loire belongs to the continent of Antarctica,Antarctica
Johnson Glacier,part-of-continent,Antarctica,P30,Johnson Glacier is a part of the continent of,Johnson Glacier is a part of the continent of Antarctica,Johnson Glacier is a part of the continent of Asia,Asia
Shackleton Range,part-of-continent,Antarctica,P30,Shackleton Range is a part of the continent of,Shackleton Range is a part of the continent of Antarctica,Shackleton Range is a part of the continent of Asia,Asia
Benson Glacier,part-of-continent,Antarctica,P30,Benson Glacier is a part of the continent of,Benson Glacier is a part of the continent of Antarctica,Benson Glacier is a part of the continent of Asia,Asia
Romulus Glacier,belong-to-continent,Antarctica,P30,Romulus Glacier belongs to the continent of,Romulus Glacier belongs to the continent of Antarctica,Romulus Glacier belongs to the continent of Africa,Africa
Orange Free State,belong-to-continent,Africa,P30,Orange Free State belongs to the continent of,Orange Free State belongs to the continent of Africa,Orange Free State belongs to the continent of Asia,Asia
Comoros,part-of-continent,Africa,P30,Comoros is a part of the continent of,Comoros is a part of the continent of Africa,Comoros is a part of the continent of Europe,Europe
Reeves Glacier,part-of-continent,Antarctica,P30,Reeves Glacier is a part of the continent of,Reeves Glacier is a part of the continent of Antarctica,Reeves Glacier is a part of the continent of Africa,Africa
Finland,part-of-continent,Europe,P30,Finland is a part of the continent of,Finland is a part of the continent of Europe,Finland is a part of the continent of Antarctica,Antarctica
English Channel,belong-to-continent,Europe,P30,English Channel belongs to the continent of,English Channel belongs to the continent of Europe,English Channel belongs to the continent of Africa,Africa
Congo basin,part-of-continent,Africa,P30,Congo basin is a part of the continent of,Congo basin is a part of the continent of Africa,Congo basin is a part of the continent of Europe,Europe
Sudan,part-of-continent,Africa,P30,Sudan is a part of the continent of,Sudan is a part of the continent of Africa,Sudan is a part of the continent of Europe,Europe
Butler Glacier,part-of-continent,Antarctica,P30,Butler Glacier is a part of the continent of,Butler Glacier is a part of the continent of Antarctica,Butler Glacier is a part of the continent of Africa,Africa
Lavoisier Island,belong-to-continent,Antarctica,P30,Lavoisier Island belongs to the continent of,Lavoisier Island belongs to the continent of Antarctica,Lavoisier Island belongs to the continent of Asia,Asia
Gadag district,belong-to-continent,Asia,P30,Gadag district belongs to the continent of,Gadag district belongs to the continent of Asia,Gadag district belongs to the continent of Europe,Europe
North Macedonia,part-of-continent,Europe,P30,North Macedonia is a part of the continent of,North Macedonia is a part of the continent of Europe,North Macedonia is a part of the continent of Asia,Asia
Entente Florale,belong-to-continent,Europe,P30,Entente Florale belongs to the continent of,Entente Florale belongs to the continent of Europe,Entente Florale belongs to the continent of Antarctica,Antarctica
Czechoslovakia,belong-to-continent,Europe,P30,Czechoslovakia belongs to the continent of,Czechoslovakia belongs to the continent of Europe,Czechoslovakia belongs to the continent of Antarctica,Antarctica
Harsewinkel,belong-to-continent,Europe,P30,Harsewinkel belongs to the continent of,Harsewinkel belongs to the continent of Europe,Harsewinkel belongs to the continent of Asia,Asia
Griffith Glacier,belong-to-continent,Antarctica,P30,Griffith Glacier belongs to the continent of,Griffith Glacier belongs to the continent of Antarctica,Griffith Glacier belongs to the continent of Europe,Europe
Recovery Glacier,part-of-continent,Antarctica,P30,Recovery Glacier is a part of the continent of,Recovery Glacier is a part of the continent of Antarctica,Recovery Glacier is a part of the continent of Europe,Europe
Fosdick Mountains,belong-to-continent,Antarctica,P30,Fosdick Mountains belongs to the continent of,Fosdick Mountains belongs to the continent of Antarctica,Fosdick Mountains belongs to the continent of Europe,Europe
Hippocrates Glacier,part-of-continent,Antarctica,P30,Hippocrates Glacier is a part of the continent of,Hippocrates Glacier is a part of the continent of Antarctica,Hippocrates Glacier is a part of the continent of Africa,Africa
Khabarovsk,belong-to-continent,Asia,P30,Khabarovsk belongs to the continent of,Khabarovsk belongs to the continent of Asia,Khabarovsk belongs to the continent of Africa,Africa
Vestreskorve Glacier,belong-to-continent,Antarctica,P30,Vestreskorve Glacier belongs to the continent of,Vestreskorve Glacier belongs to the continent of Antarctica,Vestreskorve Glacier belongs to the continent of Europe,Europe
Austria,part-of-continent,Europe,P30,Austria is a part of the continent of,Austria is a part of the continent of Europe,Austria is a part of the continent of Antarctica,Antarctica
Gibbs Glacier,part-of-continent,Antarctica,P30,Gibbs Glacier is a part of the continent of,Gibbs Glacier is a part of the continent of Antarctica,Gibbs Glacier is a part of the continent of Africa,Africa
Borchgrevink Glacier,part-of-continent,Antarctica,P30,Borchgrevink Glacier is a part of the continent of,Borchgrevink Glacier is a part of the continent of Antarctica,Borchgrevink Glacier is a part of the continent of Europe,Europe
Soviet Union,part-of-continent,Europe,P30,Soviet Union is a part of the continent of,Soviet Union is a part of the continent of Europe,Soviet Union is a part of the continent of Asia,Asia
Scheldt,belong-to-continent,Europe,P30,Scheldt belongs to the continent of,Scheldt belongs to the continent of Europe,Scheldt belongs to the continent of Asia,Asia
Princess Elisabeth Antarctica,part-of-continent,Antarctica,P30,Princess Elisabeth Antarctica is a part of the continent of,Princess Elisabeth Antarctica is a part of the continent of Antarctica,Princess Elisabeth Antarctica is a part of the continent of Europe,Europe
Southern Netherlands,part-of-continent,Europe,P30,Southern Netherlands is a part of the continent of,Southern Netherlands is a part of the continent of Europe,Southern Netherlands is a part of the continent of Antarctica,Antarctica
South Asia,belong-to-continent,Asia,P30,South Asia belongs to the continent of,South Asia belongs to the continent of Asia,South Asia belongs to the continent of Antarctica,Antarctica
Equatorial Guinea,part-of-continent,Africa,P30,Equatorial Guinea is a part of the continent of,Equatorial Guinea is a part of the continent of Africa,Equatorial Guinea is a part of the continent of Antarctica,Antarctica
history of Africa,part-of-continent,Africa,P30,history of Africa is a part of the continent of,history of Africa is a part of the continent of Africa,history of Africa is a part of the continent of Asia,Asia
Pare Glacier,part-of-continent,Antarctica,P30,Pare Glacier is a part of the continent of,Pare Glacier is a part of the continent of Antarctica,Pare Glacier is a part of the continent of Africa,Africa
Shirase Glacier,part-of-continent,Antarctica,P30,Shirase Glacier is a part of the continent of,Shirase Glacier is a part of the continent of Antarctica,Shirase Glacier is a part of the continent of Europe,Europe
Craiova,belong-to-continent,Europe,P30,Craiova belongs to the continent of,Craiova belongs to the continent of Europe,Craiova belongs to the continent of Africa,Africa
Noll Glacier,part-of-continent,Antarctica,P30,Noll Glacier is a part of the continent of,Noll Glacier is a part of the continent of Antarctica,Noll Glacier is a part of the continent of Africa,Africa
Hansen Glacier,part-of-continent,Antarctica,P30,Hansen Glacier is a part of the continent of,Hansen Glacier is a part of the continent of Antarctica,Hansen Glacier is a part of the continent of Asia,Asia
Debenham Glacier,part-of-continent,Antarctica,P30,Debenham Glacier is a part of the continent of,Debenham Glacier is a part of the continent of Antarctica,Debenham Glacier is a part of the continent of Africa,Africa
Lazarev Ice Shelf,belong-to-continent,Antarctica,P30,Lazarev Ice Shelf belongs to the continent of,Lazarev Ice Shelf belongs to the continent of Antarctica,Lazarev Ice Shelf belongs to the continent of Asia,Asia
Imperial Trans-Antarctic Expedition,part-of-continent,Antarctica,P30,Imperial Trans-Antarctic Expedition is a part of the continent of,Imperial Trans-Antarctic Expedition is a part of the continent of Antarctica,Imperial Trans-Antarctic Expedition is a part of the continent of Asia,Asia
Venus Glacier,part-of-continent,Antarctica,P30,Venus Glacier is a part of the continent of,Venus Glacier is a part of the continent of Antarctica,Venus Glacier is a part of the continent of Asia,Asia
Euphrates,belong-to-continent,Asia,P30,Euphrates belongs to the continent of,Euphrates belongs to the continent of Asia,Euphrates belongs to the continent of Antarctica,Antarctica
Cameroon,part-of-continent,Africa,P30,Cameroon is a part of the continent of,Cameroon is a part of the continent of Africa,Cameroon is a part of the continent of Asia,Asia
Catalonia,belong-to-continent,Europe,P30,Catalonia belongs to the continent of,Catalonia belongs to the continent of Europe,Catalonia belongs to the continent of Asia,Asia
Mozambique,part-of-continent,Africa,P30,Mozambique is a part of the continent of,Mozambique is a part of the continent of Africa,Mozambique is a part of the continent of Asia,Asia
Shenzhen,belong-to-continent,Asia,P30,Shenzhen belongs to the continent of,Shenzhen belongs to the continent of Asia,Shenzhen belongs to the continent of Europe,Europe
Schokalsky Bay,part-of-continent,Antarctica,P30,Schokalsky Bay is a part of the continent of,Schokalsky Bay is a part of the continent of Antarctica,Schokalsky Bay is a part of the continent of Europe,Europe
Thailand,part-of-continent,Asia,P30,Thailand is a part of the continent of,Thailand is a part of the continent of Asia,Thailand is a part of the continent of Africa,Africa
Craddock Massif,part-of-continent,Antarctica,P30,Craddock Massif is a part of the continent of,Craddock Massif is a part of the continent of Antarctica,Craddock Massif is a part of the continent of Africa,Africa
Victoria Upper Glacier,part-of-continent,Antarctica,P30,Victoria Upper Glacier is a part of the continent of,Victoria Upper Glacier is a part of the continent of Antarctica,Victoria Upper Glacier is a part of the continent of Asia,Asia
Hanoi,belong-to-continent,Asia,P30,Hanoi belongs to the continent of,Hanoi belongs to the continent of Asia,Hanoi belongs to the continent of Europe,Europe
Russell East Glacier,part-of-continent,Antarctica,P30,Russell East Glacier is a part of the continent of,Russell East Glacier is a part of the continent of Antarctica,Russell East Glacier is a part of the continent of Africa,Africa
Rose Valley Glacier,part-of-continent,Antarctica,P30,Rose Valley Glacier is a part of the continent of,Rose Valley Glacier is a part of the continent of Antarctica,Rose Valley Glacier is a part of the continent of Europe,Europe
James Ross Island group,part-of-continent,Antarctica,P30,James Ross Island group is a part of the continent of,James Ross Island group is a part of the continent of Antarctica,James Ross Island group is a part of the continent of Africa,Africa
Contell Glacier,part-of-continent,Antarctica,P30,Contell Glacier is a part of the continent of,Contell Glacier is a part of the continent of Antarctica,Contell Glacier is a part of the continent of Africa,Africa
Reedy Glacier,belong-to-continent,Antarctica,P30,Reedy Glacier belongs to the continent of,Reedy Glacier belongs to the continent of Antarctica,Reedy Glacier belongs to the continent of Europe,Europe
David Glacier,part-of-continent,Antarctica,P30,David Glacier is a part of the continent of,David Glacier is a part of the continent of Antarctica,David Glacier is a part of the continent of Africa,Africa
Gelderland,part-of-continent,Europe,P30,Gelderland is a part of the continent of,Gelderland is a part of the continent of Europe,Gelderland is a part of the continent of Asia,Asia
Lucy Glacier,part-of-continent,Antarctica,P30,Lucy Glacier is a part of the continent of,Lucy Glacier is a part of the continent of Antarctica,Lucy Glacier is a part of the continent of Asia,Asia
Burundi,part-of-continent,Africa,P30,Burundi is a part of the continent of,Burundi is a part of the continent of Africa,Burundi is a part of the continent of Antarctica,Antarctica
Schytt Glacier,part-of-continent,Antarctica,P30,Schytt Glacier is a part of the continent of,Schytt Glacier is a part of the continent of Antarctica,Schytt Glacier is a part of the continent of Europe,Europe
Saint Petersburg,belong-to-continent,Europe,P30,Saint Petersburg belongs to the continent of,Saint Petersburg belongs to the continent of Europe,Saint Petersburg belongs to the continent of Antarctica,Antarctica
Tiber,belong-to-continent,Europe,P30,Tiber belongs to the continent of,Tiber belongs to the continent of Europe,Tiber belongs to the continent of Asia,Asia
history of Europe,part-of-continent,Europe,P30,history of Europe is a part of the continent of,history of Europe is a part of the continent of Europe,history of Europe is a part of the continent of Asia,Asia
Chamarajanagar district,belong-to-continent,Asia,P30,Chamarajanagar district belongs to the continent of,Chamarajanagar district belongs to the continent of Asia,Chamarajanagar district belongs to the continent of Antarctica,Antarctica
Moscow,part-of-continent,Europe,P30,Moscow is a part of the continent of,Moscow is a part of the continent of Europe,Moscow is a part of the continent of Africa,Africa
Transantarctic Mountains,part-of-continent,Antarctica,P30,Transantarctic Mountains is a part of the continent of,Transantarctic Mountains is a part of the continent of Antarctica,Transantarctic Mountains is a part of the continent of Europe,Europe
Eureka Glacier,part-of-continent,Antarctica,P30,Eureka Glacier is a part of the continent of,Eureka Glacier is a part of the continent of Antarctica,Eureka Glacier is a part of the continent of Africa,Africa
England,part-of-continent,Europe,P30,England is a part of the continent of,England is a part of the continent of Europe,England is a part of the continent of Africa,Africa
Chukotka Autonomous Okrug,belong-to-continent,Asia,P30,Chukotka Autonomous Okrug belongs to the continent of,Chukotka Autonomous Okrug belongs to the continent of Asia,Chukotka Autonomous Okrug belongs to the continent of Africa,Africa
Mulock Glacier,part-of-continent,Antarctica,P30,Mulock Glacier is a part of the continent of,Mulock Glacier is a part of the continent of Antarctica,Mulock Glacier is a part of the continent of Africa,Africa
European Project for Ice Coring in Antarctica,part-of-continent,Antarctica,P30,European Project for Ice Coring in Antarctica is a part of the continent of,European Project for Ice Coring in Antarctica is a part of the continent of Antarctica,European Project for Ice Coring in Antarctica is a part of the continent of Europe,Europe
Mertz Glacier,part-of-continent,Antarctica,P30,Mertz Glacier is a part of the continent of,Mertz Glacier is a part of the continent of Antarctica,Mertz Glacier is a part of the continent of Europe,Europe
Spain,part-of-continent,Europe,P30,Spain is a part of the continent of,Spain is a part of the continent of Europe,Spain is a part of the continent of Asia,Asia
Shipley Glacier,part-of-continent,Antarctica,P30,Shipley Glacier is a part of the continent of,Shipley Glacier is a part of the continent of Antarctica,Shipley Glacier is a part of the continent of Asia,Asia
Kingdom of Mercia,belong-to-continent,Europe,P30,Kingdom of Mercia belongs to the continent of,Kingdom of Mercia belongs to the continent of Europe,Kingdom of Mercia belongs to the continent of Asia,Asia
Dennistoun Glacier,part-of-continent,Antarctica,P30,Dennistoun Glacier is a part of the continent of,Dennistoun Glacier is a part of the continent of Antarctica,Dennistoun Glacier is a part of the continent of Africa,Africa
Japan,part-of-continent,Asia,P30,Japan is a part of the continent of,Japan is a part of the continent of Asia,Japan is a part of the continent of Antarctica,Antarctica
Douro,belong-to-continent,Europe,P30,Douro belongs to the continent of,Douro belongs to the continent of Europe,Douro belongs to the continent of Asia,Asia
Carolingian Empire,belong-to-continent,Europe,P30,Carolingian Empire belongs to the continent of,Carolingian Empire belongs to the continent of Europe,Carolingian Empire belongs to the continent of Antarctica,Antarctica
Topeka,capital-city-of,Kansas,P1376,Topeka is the capital city of,Topeka is the capital city of Kansas,Topeka is the capital city of Sydney,Sydney
Doha,capital-of,Qatar,P1376,"Doha, the capital of","Doha, the capital of Qatar","Doha, the capital of Cleveland",Cleveland
New Delhi,capital-city-of,India,P1376,"New Delhi, the capital city of","New Delhi, the capital city of India","New Delhi, the capital city of Ireland",Ireland
Chile,capital-of,Santiago,P1376,"Chile's capital,","Chile's capital, Santiago","Chile's capital, Maryland",Maryland
Bamako,capital-of,Mali,P1376,"Bamako, the capital of","Bamako, the capital of Mali","Bamako, the capital of Baghdad",Baghdad
Texas,capital-of,Austin,P1376,"Texas's capital,","Texas's capital, Austin","Texas's capital, Beijing",Beijing
United Kingdom,capital-of,London,P1376,"United Kingdom's capital,","United Kingdom's capital, London","United Kingdom's capital, Senegal",Senegal
First Portuguese Republic,capital-of,Lisbon,P1376,"First Portuguese Republic's capital,","First Portuguese Republic's capital, Lisbon","First Portuguese Republic's capital, Ukraine",Ukraine
Province of Naples,capital-of,Naples,P1376,"Province of Naples's capital,","Province of Naples's capital, Naples","Province of Naples's capital, Colorado",Colorado
Jakarta,capital-city-of,Indonesia,P1376,"Jakarta, that is the capital city of","Jakarta, that is the capital city of Indonesia","Jakarta, that is the capital city of Colorado",Colorado
Kigali,capital-of,Rwanda,P1376,"Kigali, the capital of","Kigali, the capital of Rwanda","Kigali, the capital of Naples",Naples
Kuala Lumpur,capital-city-of,Malaysia,P1376,"Kuala Lumpur, the capital city of","Kuala Lumpur, the capital city of Malaysia","Kuala Lumpur, the capital city of Nicaragua",Nicaragua
Tokyo,capital-city-of,Japan,P1376,Tokyo is the capital city of,Tokyo is the capital city of Japan,Tokyo is the capital city of Amsterdam,Amsterdam
Kingdom of Greece,capital-of,Athens,P1376,"Kingdom of Greece's capital,","Kingdom of Greece's capital, Athens","Kingdom of Greece's capital, Ontario",Ontario
Waikato Region,capital-of,Hamilton,P1376,The capital of Waikato Region is,The capital of Waikato Region is Hamilton,The capital of Waikato Region is Rome,Rome
Hartford,capital-of,Connecticut,P1376,"Hartford, that is the capital of","Hartford, that is the capital of Connecticut","Hartford, that is the capital of Paris",Paris
County Durham,capital-of,Durham,P1376,"County Durham's capital,","County Durham's capital, Durham","County Durham's capital, Maryland",Maryland
Czech Republic,capital-of,Prague,P1376,"Czech Republic's capital,","Czech Republic's capital, Prague","Czech Republic's capital, Afghanistan",Afghanistan
Nova Scotia,capital-of,Halifax,P1376,"Nova Scotia's capital,","Nova Scotia's capital, Halifax","Nova Scotia's capital, Tasmania",Tasmania
Des Moines,capital-of,Iowa,P1376,"Des Moines, that is the capital of","Des Moines, that is the capital of Iowa","Des Moines, that is the capital of Maryland",Maryland
Kingdom of Bavaria,capital-of,Munich,P1376,"Kingdom of Bavaria's capital,","Kingdom of Bavaria's capital, Munich","Kingdom of Bavaria's capital, Ottawa",Ottawa
Habsburg Monarchy,capital-of,Vienna,P1376,"Habsburg Monarchy's capital,","Habsburg Monarchy's capital, Vienna","Habsburg Monarchy's capital, Concord",Concord
Athens,capital-city-of,Greece,P1376,Athens is the capital city of,Athens is the capital city of Greece,Athens is the capital city of Edinburgh,Edinburgh
Virginia,capital-of,Richmond,P1376,"Virginia's capital,","Virginia's capital, Richmond","Virginia's capital, Karachi",Karachi
Little Rock,capital-city-of,Arkansas,P1376,"Little Rock, the capital city of","Little Rock, the capital city of Arkansas","Little Rock, the capital city of Japan",Japan
Switzerland,capital-of,Bern,P1376,"Switzerland's capital,","Switzerland's capital, Bern","Switzerland's capital, Rome",Rome
Libya,capital-of,Tripoli,P1376,"Libya's capital,","Libya's capital, Tripoli","Libya's capital, Haiti",Haiti
Russian Soviet Federative Socialist Republic,capital-of,Moscow,P1376,The capital of Russian Soviet Federative Socialist Republic is,The capital of Russian Soviet Federative Socialist Republic is Moscow,The capital of Russian Soviet Federative Socialist Republic is Laos,Laos
Russia,capital-city-of,Moscow,P1376,"Russia's capital city,","Russia's capital city, Moscow","Russia's capital city, Venice",Venice
Edinburgh,capital-city-of,Scotland,P1376,Edinburgh is the capital city of,Edinburgh is the capital city of Scotland,Edinburgh is the capital city of Cardiff,Cardiff
Illinois,capital-of,Springfield,P1376,"Illinois's capital,","Illinois's capital, Springfield","Illinois's capital, Columbus",Columbus
Taipei,capital-city-of,Taiwan,P1376,"Taipei, that is the capital city of","Taipei, that is the capital city of Taiwan","Taipei, that is the capital city of Idaho",Idaho
Madrid,capital-city-of,Spain,P1376,"Madrid, that is the capital city of","Madrid, that is the capital city of Spain","Madrid, that is the capital city of Iraq",Iraq
Zagreb,capital-city-of,Croatia,P1376,"Zagreb, that is the capital city of","Zagreb, that is the capital city of Croatia","Zagreb, that is the capital city of Moscow",Moscow
Lebanon,capital-of,Beirut,P1376,"Lebanon's capital,","Lebanon's capital, Beirut","Lebanon's capital, Naples",Naples
Dhaka,capital-city-of,Bangladesh,P1376,"Dhaka, the capital city of","Dhaka, the capital city of Bangladesh","Dhaka, the capital city of Fiji",Fiji
N'Djamena,capital-city-of,Chad,P1376,"N'Djamena, the capital city of","N'Djamena, the capital city of Chad","N'Djamena, the capital city of Tanzania",Tanzania
Sacramento,capital-of,California,P1376,"Sacramento, the capital of","Sacramento, the capital of California","Sacramento, the capital of Bangladesh",Bangladesh
Rhode Island,capital-of,Providence,P1376,"Rhode Island's capital,","Rhode Island's capital, Providence","Rhode Island's capital, Ontario",Ontario
Vilnius,capital-of,Lithuania,P1376,"Vilnius, the capital of","Vilnius, the capital of Lithuania","Vilnius, the capital of Prague",Prague
Vichy France,capital-of,Paris,P1376,"Vichy France's capital,","Vichy France's capital, Paris","Vichy France's capital, Japan",Japan
Stockholm,capital-of,Sweden,P1376,"Stockholm, that is the capital of","Stockholm, that is the capital of Sweden","Stockholm, that is the capital of Malaysia",Malaysia
Syria,capital-of,Damascus,P1376,"Syria's capital,","Syria's capital, Damascus","Syria's capital, Kerala",Kerala
Roman Republic,capital-of,Rome,P1376,The capital of Roman Republic is,The capital of Roman Republic is Rome,The capital of Roman Republic is Durham,Durham
Aberdeen City Council,capital-city-of,Aberdeen,P1376,"Aberdeen City Council's capital city,","Aberdeen City Council's capital city, Aberdeen","Aberdeen City Council's capital city, Cardiff",Cardiff
South Carolina,capital-of,Columbia,P1376,"South Carolina's capital,","South Carolina's capital, Columbia","South Carolina's capital, Florida",Florida
Canada,capital-of,Ottawa,P1376,"Canada's capital,","Canada's capital, Ottawa","Canada's capital, Columbia",Columbia
United Kingdom of Great Britain and Ireland,capital-of,London,P1376,"United Kingdom of Great Britain and Ireland's capital,","United Kingdom of Great Britain and Ireland's capital, London","United Kingdom of Great Britain and Ireland's capital, Guatemala",Guatemala
Vienna,capital-of,Austria,P1376,Vienna is the capital of,Vienna is the capital of Austria,Vienna is the capital of Tunisia,Tunisia
Sindh,capital-of,Karachi,P1376,The capital of Sindh is,The capital of Sindh is Karachi,The capital of Sindh is Rome,Rome
Ottawa,capital-of,Canada,P1376,Ottawa is the capital of,Ottawa is the capital of Canada,Ottawa is the capital of Karachi,Karachi
Neo-Babylonian Empire,capital-city-of,Babylon,P1376,"Neo-Babylonian Empire's capital city,","Neo-Babylonian Empire's capital city, Babylon","Neo-Babylonian Empire's capital city, Estonia",Estonia
Kingdom of Egypt,capital-of,Cairo,P1376,"Kingdom of Egypt's capital,","Kingdom of Egypt's capital, Cairo","Kingdom of Egypt's capital, Uruguay",Uruguay
Tunis,capital-city-of,Tunisia,P1376,Tunis is the capital city of,Tunis is the capital city of Tunisia,Tunis is the capital city of Rome,Rome
Cuba,capital-of,Havana,P1376,"Cuba's capital,","Cuba's capital, Havana","Cuba's capital, Copenhagen",Copenhagen
Idaho,capital-city-of,Boise,P1376,"Idaho's capital city,","Idaho's capital city, Boise","Idaho's capital city, Kerala",Kerala
Empire of Japan,capital-city-of,Tokyo,P1376,"Empire of Japan's capital city,","Empire of Japan's capital city, Tokyo","Empire of Japan's capital city, Kiev",Kiev
Vientiane,capital-of,Laos,P1376,"Vientiane, the capital of","Vientiane, the capital of Laos","Vientiane, the capital of Karachi",Karachi
Second Spanish Republic,capital-of,Madrid,P1376,The capital of Second Spanish Republic is,The capital of Second Spanish Republic is Madrid,The capital of Second Spanish Republic is Qatar,Qatar
Denver,capital-city-of,Colorado,P1376,Denver is the capital city of,Denver is the capital city of Colorado,Denver is the capital city of Oslo,Oslo
Toledo Province,capital-city-of,Toledo,P1376,"Toledo Province's capital city,","Toledo Province's capital city, Toledo","Toledo Province's capital city, Kiev",Kiev
Montevideo,capital-city-of,Uruguay,P1376,"Montevideo, the capital city of","Montevideo, the capital city of Uruguay","Montevideo, the capital city of Portugal",Portugal
Cuyahoga County,capital-city-of,Cleveland,P1376,"Cuyahoga County's capital city,","Cuyahoga County's capital city, Cleveland","Cuyahoga County's capital city, Louisiana",Louisiana
Kingdom of Prussia,capital-of,Berlin,P1376,"Kingdom of Prussia's capital,","Kingdom of Prussia's capital, Berlin","Kingdom of Prussia's capital, Iraq",Iraq
Kingdom of France,capital-of,Paris,P1376,"Kingdom of France's capital,","Kingdom of France's capital, Paris","Kingdom of France's capital, Tanzania",Tanzania
Latin Empire,capital-of,Constantinople,P1376,"Latin Empire's capital,","Latin Empire's capital, Constantinople","Latin Empire's capital, Honolulu",Honolulu
Ankara,capital-of,Turkey,P1376,"Ankara, the capital of","Ankara, the capital of Turkey","Ankara, the capital of Uruguay",Uruguay
Kingdom of Hungary,capital-of,Budapest,P1376,"Kingdom of Hungary's capital,","Kingdom of Hungary's capital, Budapest","Kingdom of Hungary's capital, Copenhagen",Copenhagen
Tirana,capital-city-of,Albania,P1376,"Tirana, the capital city of","Tirana, the capital city of Albania","Tirana, the capital city of Columbia",Columbia
Tallahassee,capital-of,Florida,P1376,"Tallahassee, the capital of","Tallahassee, the capital of Florida","Tallahassee, the capital of Scotland",Scotland
South Australia,capital-of,Adelaide,P1376,"South Australia's capital,","South Australia's capital, Adelaide","South Australia's capital, Uruguay",Uruguay
Monrovia,capital-city-of,Liberia,P1376,Monrovia is the capital city of,Monrovia is the capital city of Liberia,Monrovia is the capital city of Afghanistan,Afghanistan
Palermo,capital-city-of,Sicily,P1376,"Palermo, the capital city of","Palermo, the capital city of Sicily","Palermo, the capital city of Ecuador",Ecuador
Conakry,capital-of,Guinea,P1376,"Conakry, that is the capital of","Conakry, that is the capital of Guinea","Conakry, that is the capital of Brussels",Brussels
Toronto,capital-city-of,Ontario,P1376,Toronto is the capital city of,Toronto is the capital city of Ontario,Toronto is the capital city of Connecticut,Connecticut
Flemish Community,capital-of,Brussels,P1376,The capital of Flemish Community is,The capital of Flemish Community is Brussels,The capital of Flemish Community is Honolulu,Honolulu
Denmark,capital-city-of,Copenhagen,P1376,"Denmark's capital city,","Denmark's capital city, Copenhagen","Denmark's capital city, Qatar",Qatar
Kiev,capital-of,Ukraine,P1376,Kiev is the capital of,Kiev is the capital of Ukraine,Kiev is the capital of Bulgaria,Bulgaria
Bangkok,capital-city-of,Thailand,P1376,"Bangkok, that is the capital city of","Bangkok, that is the capital city of Thailand","Bangkok, that is the capital city of Massachusetts",Massachusetts
Quito,capital-city-of,Ecuador,P1376,"Quito, the capital city of","Quito, the capital city of Ecuador","Quito, the capital city of Uganda",Uganda
Dar es Salaam,capital-city-of,Tanzania,P1376,"Dar es Salaam, the capital city of","Dar es Salaam, the capital city of Tanzania","Dar es Salaam, the capital city of Kabul",Kabul
Kuwait City,capital-city-of,Kuwait,P1376,"Kuwait City, the capital city of","Kuwait City, the capital city of Kuwait","Kuwait City, the capital city of Kabul",Kabul
Japan,capital-city-of,Tokyo,P1376,"Japan's capital city,","Japan's capital city, Tokyo","Japan's capital city, Ecuador",Ecuador
Bucharest,capital-of,Romania,P1376,"Bucharest, the capital of","Bucharest, the capital of Romania","Bucharest, the capital of Cyprus",Cyprus
Portugal,capital-city-of,Lisbon,P1376,"Portugal's capital city,","Portugal's capital city, Lisbon","Portugal's capital city, Israel",Israel
Finnish Socialist Workers' Republic,capital-of,Helsinki,P1376,"Finnish Socialist Workers' Republic's capital,","Finnish Socialist Workers' Republic's capital, Helsinki","Finnish Socialist Workers' Republic's capital, Columbus",Columbus
Managua,capital-city-of,Nicaragua,P1376,"Managua, the capital city of","Managua, the capital city of Nicaragua","Managua, the capital city of Azerbaijan",Azerbaijan
Lansing,capital-of,Michigan,P1376,"Lansing, that is the capital of","Lansing, that is the capital of Michigan","Lansing, that is the capital of Madison",Madison
Republic of Venice,capital-of,Venice,P1376,The capital of Republic of Venice is,The capital of Republic of Venice is Venice,The capital of Republic of Venice is Winnipeg,Winnipeg
Bohemia,capital-of,Prague,P1376,"Bohemia's capital,","Bohemia's capital, Prague","Bohemia's capital, Slovakia",Slovakia
Tallinn,capital-of,Estonia,P1376,"Tallinn, that is the capital of","Tallinn, that is the capital of Estonia","Tallinn, that is the capital of Israel",Israel
Hawaii,capital-city-of,Honolulu,P1376,"Hawaii's capital city,","Hawaii's capital city, Honolulu","Hawaii's capital city, Colorado",Colorado
