subject,rel_lemma,object,rel_p_id,query,prompt,model_output
Republic of Venice,capital-of,Venice,P1376,The capital of Republic of Venice is,"Complete the sentence. Answer with one word. ""The capital of Republic of Venice is""",Venice
Bohemia,capital-of,Prague,P1376,"Bohemia's capital,","Complete the sentence. Answer with one word. ""Bohemia's capital,""",Prague
Tallinn,capital-of,Estonia,P1376,"Tallinn, that is the capital of","Complete the sentence. Answer with one word. ""Tallinn, that is the capital of""",Estonia
Hawaii,capital-city-of,Honolulu,P1376,"Hawaii's capital city,","Complete the sentence. Answer with one word. ""Hawaii's capital city,""",Honolulu
Leeds,capital-of,Leeds,P1376,"Leeds's capital,","Complete the sentence. Answer with one word. ""Leeds's capital,""",L
Hampton County,capital-of,Hampton,P1376,The capital of Hampton County is,"Complete the sentence. Answer with one word. ""The capital of Hampton County is""",Hampton
Kingdom of Ireland,capital-of,Dublin,P1376,"Kingdom of Ireland's capital,","Complete the sentence. Answer with one word. ""Kingdom of Ireland's capital,""",Dublin
Metropolitan France,capital-of,Paris,P1376,"Metropolitan France's capital,","Complete the sentence. Answer with one word. ""Metropolitan France's capital,""",Paris
Lima,capital-of,Lima,P1376,"Lima's capital,","Complete the sentence. Answer with one word. ""Lima's capital,""",Peru
Oregon,capital-of,Salem,P1376,"Oregon's capital,","Complete the sentence. Answer with one word. ""Oregon's capital,""",Salem
Fresno County,capital-city-of,Fresno,P1376,"Fresno County's capital city,","Complete the sentence. Answer with one word. ""Fresno County's capital city,""",Fresno
Ireland,capital-of,Dublin,P1376,"Ireland's capital,","Complete the sentence. Answer with one word. ""Ireland's capital,""",Dublin
Indianapolis,capital-of,Indiana,P1376,"Indianapolis, the capital of","Complete the sentence. Answer with one word. ""Indianapolis, the capital of""",Indiana
Tennessee,capital-of,Nashville,P1376,"Tennessee's capital,","Complete the sentence. Answer with one word. ""Tennessee's capital,""",Nashville
Edmonton,capital-city-of,Alberta,P1376,Edmonton is the capital city of,"Complete the sentence. Answer with one word. ""Edmonton is the capital city of""",Alberta
Lisbon,capital-city-of,Portugal,P1376,"Lisbon, that is the capital city of","Complete the sentence. Answer with one word. ""Lisbon, that is the capital city of""",Portugal
Spanish Empire,capital-of,Madrid,P1376,The capital of Spanish Empire is,"Complete the sentence. Answer with one word. ""The capital of Spanish Empire is""",Madrid
French Community of Belgium,capital-of,Brussels,P1376,"French Community of Belgium's capital,","Complete the sentence. Answer with one word. ""French Community of Belgium's capital,""",Brussels
Valencia Province,capital-of,Valencia,P1376,"Valencia Province's capital,","Complete the sentence. Answer with one word. ""Valencia Province's capital,""",Valencia
Warsaw,capital-city-of,Poland,P1376,Warsaw is the capital city of,"Complete the sentence. Answer with one word. ""Warsaw is the capital city of""",Poland
Annapolis,capital-city-of,Maryland,P1376,"Annapolis, the capital city of","Complete the sentence. Answer with one word. ""Annapolis, the capital city of""",Maryland
Belgium,capital-of,Brussels,P1376,"Belgium's capital,","Complete the sentence. Answer with one word. ""Belgium's capital,""",Brussels
Massachusetts,capital-city-of,Boston,P1376,"Massachusetts's capital city,","Complete the sentence. Answer with one word. ""Massachusetts's capital city,""",Boston
Moscow Oblast,capital-of,Moscow,P1376,"Moscow Oblast's capital,","Complete the sentence. Answer with one word. ""Moscow Oblast's capital,""",Moscow
City of Edinburgh,capital-of,Edinburgh,P1376,"City of Edinburgh's capital,","Complete the sentence. Answer with one word. ""City of Edinburgh's capital,""",E
Thiruvananthapuram,capital-city-of,Kerala,P1376,"Thiruvananthapuram, the capital city of","Complete the sentence. Answer with one word. ""Thiruvananthapuram, the capital city of""",Kerala
Austrian Empire,capital-city-of,Vienna,P1376,"Austrian Empire's capital city,","Complete the sentence. Answer with one word. ""Austrian Empire's capital city,""",Vienna
Ukrainian Soviet Socialist Republic,capital-of,Kiev,P1376,The capital of Ukrainian Soviet Socialist Republic is,"Complete the sentence. Answer with one word. ""The capital of Ukrainian Soviet Socialist Republic is""",Kyiv
First Czechoslovak Republic,capital-of,Prague,P1376,The capital of First Czechoslovak Republic is,"Complete the sentence. Answer with one word. ""The capital of First Czechoslovak Republic is""",Prague
Khedivate of Egypt,capital-of,Cairo,P1376,"Khedivate of Egypt's capital,","Complete the sentence. Answer with one word. ""Khedivate of Egypt's capital,""",Cairo
Beirut Governorate,capital-of,Beirut,P1376,"Beirut Governorate's capital,","Complete the sentence. Answer with one word. ""Beirut Governorate's capital,""",Beirut
Guatemala City,capital-city-of,Guatemala,P1376,"Guatemala City, the capital city of","Complete the sentence. Answer with one word. ""Guatemala City, the capital city of""",Guatemala
Miami-Dade County,capital-city-of,Miami,P1376,"Miami-Dade County's capital city,","Complete the sentence. Answer with one word. ""Miami-Dade County's capital city,""",Miami
Brisbane,capital-city-of,Queensland,P1376,"Brisbane, that is the capital city of","Complete the sentence. Answer with one word. ""Brisbane, that is the capital city of""",Queensland
Wisconsin,capital-of,Madison,P1376,"Wisconsin's capital,","Complete the sentence. Answer with one word. ""Wisconsin's capital,""",Madison
Brandenburg-Prussia,capital-of,Berlin,P1376,"Brandenburg-Prussia's capital,","Complete the sentence. Answer with one word. ""Brandenburg-Prussia's capital,""",Berlin
Delhi Sultanate,capital-of,Delhi,P1376,"Delhi Sultanate's capital,","Complete the sentence. Answer with one word. ""Delhi Sultanate's capital,""",Delhi
First Spanish Republic,capital-of,Madrid,P1376,The capital of First Spanish Republic is,"Complete the sentence. Answer with one word. ""The capital of First Spanish Republic is""",Madrid
Papal States,capital-of,Rome,P1376,"Papal States's capital,","Complete the sentence. Answer with one word. ""Papal States's capital,""",Rome
Abuja,capital-city-of,Nigeria,P1376,"Abuja, the capital city of","Complete the sentence. Answer with one word. ""Abuja, the capital city of""",Nigeria
Bratislava,capital-of,Slovakia,P1376,"Bratislava, that is the capital of","Complete the sentence. Answer with one word. ""Bratislava, that is the capital of""",Slovakia
Soviet Union,capital-of,Moscow,P1376,"Soviet Union's capital,","Complete the sentence. Answer with one word. ""Soviet Union's capital,""",Moscow
Commonwealth of England,capital-of,London,P1376,"Commonwealth of England's capital,","Complete the sentence. Answer with one word. ""Commonwealth of England's capital,""",London
Dublin,capital-of,Ireland,P1376,Dublin is the capital of,"Complete the sentence. Answer with one word. ""Dublin is the capital of""",Ireland
Tulsa County,capital-city-of,Tulsa,P1376,"Tulsa County's capital city,","Complete the sentence. Answer with one word. ""Tulsa County's capital city,""",Tulsa
County Dublin,capital-of,Dublin,P1376,"County Dublin's capital,","Complete the sentence. Answer with one word. ""County Dublin's capital,""",Dublin
Tamil Nadu,capital-city-of,Chennai,P1376,"Tamil Nadu's capital city,","Complete the sentence. Answer with one word. ""Tamil Nadu's capital city,""",Chennai
People's Republic of Poland,capital-of,Warsaw,P1376,"People's Republic of Poland's capital,","Complete the sentence. Answer with one word. ""People's Republic of Poland's capital,""",Warsaw
City of Melbourne,capital-city-of,Melbourne,P1376,"City of Melbourne's capital city,","Complete the sentence. Answer with one word. ""City of Melbourne's capital city,""",Melbourne
People's Republic of China,capital-of,Beijing,P1376,"People's Republic of China's capital,","Complete the sentence. Answer with one word. ""People's Republic of China's capital,""",Beijing
Wake County,capital-of,Raleigh,P1376,"Wake County's capital,","Complete the sentence. Answer with one word. ""Wake County's capital,""",Raleigh
Salt Lake City,capital-of,Utah,P1376,"Salt Lake City, the capital of","Complete the sentence. Answer with one word. ""Salt Lake City, the capital of""",Utah
Kingdom of Iraq,capital-of,Baghdad,P1376,"Kingdom of Iraq's capital,","Complete the sentence. Answer with one word. ""Kingdom of Iraq's capital,""",Baghdad
Austria-Hungary,capital-city-of,Vienna,P1376,"Austria-Hungary's capital city,","Complete the sentence. Answer with one word. ""Austria-Hungary's capital city,""",Vienna
Dakar,capital-of,Senegal,P1376,"Dakar, the capital of","Complete the sentence. Answer with one word. ""Dakar, the capital of""",Senegal
Nazi Germany,capital-city-of,Berlin,P1376,"Nazi Germany's capital city,","Complete the sentence. Answer with one word. ""Nazi Germany's capital city,""",Berlin
Merrimack County,capital-of,Concord,P1376,"Merrimack County's capital,","Complete the sentence. Answer with one word. ""Merrimack County's capital,""",Concord
Paris,capital-city-of,France,P1376,Paris is the capital city of,"Complete the sentence. Answer with one word. ""Paris is the capital city of""",France
Baghdad,capital-city-of,Iraq,P1376,Baghdad is the capital city of,"Complete the sentence. Answer with one word. ""Baghdad is the capital city of""",Iraq
Sacramento County,capital-of,Sacramento,P1376,"Sacramento County's capital,","Complete the sentence. Answer with one word. ""Sacramento County's capital,""",Sacramento
Ankara Province,capital-of,Ankara,P1376,"Ankara Province's capital,","Complete the sentence. Answer with one word. ""Ankara Province's capital,""",Ankara
New South Wales,capital-city-of,Sydney,P1376,"New South Wales's capital city,","Complete the sentence. Answer with one word. ""New South Wales's capital city,""",Sydney
Buenos Aires,capital-city-of,Argentina,P1376,Buenos Aires is the capital city of,"Complete the sentence. Answer with one word. ""Buenos Aires is the capital city of""",Argentina
Finland,capital-city-of,Helsinki,P1376,"Finland's capital city,","Complete the sentence. Answer with one word. ""Finland's capital city,""",Helsinki
Manitoba,capital-city-of,Winnipeg,P1376,"Manitoba's capital city,","Complete the sentence. Answer with one word. ""Manitoba's capital city,""",Winnipeg
Jerusalem,capital-of,Israel,P1376,"Jerusalem, the capital of","Complete the sentence. Answer with one word. ""Jerusalem, the capital of""",Israel
Baku,capital-city-of,Azerbaijan,P1376,Baku is the capital city of,"Complete the sentence. Answer with one word. ""Baku is the capital city of""",Azerbaijan
Stockholm County,capital-of,Stockholm,P1376,"Stockholm County's capital,","Complete the sentence. Answer with one word. ""Stockholm County's capital,""",Stockholm
Panama City,capital-city-of,Panama,P1376,"Panama City, that is the capital city of","Complete the sentence. Answer with one word. ""Panama City, that is the capital city of""",Panama
City of Newcastle,capital-of,Newcastle,P1376,"City of Newcastle's capital,","Complete the sentence. Answer with one word. ""City of Newcastle's capital,""",London
Saga Prefecture,capital-of,Saga,P1376,The capital of Saga Prefecture is,"Complete the sentence. Answer with one word. ""The capital of Saga Prefecture is""",Saga
Grand Duchy of Moscow,capital-of,Moscow,P1376,"Grand Duchy of Moscow's capital,","Complete the sentence. Answer with one word. ""Grand Duchy of Moscow's capital,""",Moscow
Kampala,capital-city-of,Uganda,P1376,"Kampala, the capital city of","Complete the sentence. Answer with one word. ""Kampala, the capital city of""",Uganda
Islamabad,capital-city-of,Pakistan,P1376,"Islamabad, the capital city of","Complete the sentence. Answer with one word. ""Islamabad, the capital city of""",Pakistan
Republic of Florence,capital-of,Florence,P1376,"Republic of Florence's capital,","Complete the sentence. Answer with one word. ""Republic of Florence's capital,""",Florence
Yogyakarta,capital-city-of,Indonesia,P1376,"Yogyakarta, that is the capital city of","Complete the sentence. Answer with one word. ""Yogyakarta, that is the capital city of""",Yogyakarta
Indonesia,capital-of,Jakarta,P1376,"Indonesia's capital,","Complete the sentence. Answer with one word. ""Indonesia's capital,""",Jakarta
Sofia,capital-of,Bulgaria,P1376,"Sofia, the capital of","Complete the sentence. Answer with one word. ""Sofia, the capital of""",Bulgaria
Second Polish Republic,capital-of,Warsaw,P1376,"Second Polish Republic's capital,","Complete the sentence. Answer with one word. ""Second Polish Republic's capital,""",Warsaw
Phnom Penh,capital-city-of,Cambodia,P1376,"Phnom Penh, that is the capital city of","Complete the sentence. Answer with one word. ""Phnom Penh, that is the capital city of""",Cambodia
Tehran,capital-of,Iran,P1376,"Tehran, the capital of","Complete the sentence. Answer with one word. ""Tehran, the capital of""",Iran
occupation of Japan,capital-of,Tokyo,P1376,"occupation of Japan's capital,","Complete the sentence. Answer with one word. ""occupation of Japan's capital,""",Tokyo
Ohio,capital-of,Columbus,P1376,"Ohio's capital,","Complete the sentence. Answer with one word. ""Ohio's capital,""",Columbus
Honolulu County,capital-city-of,Honolulu,P1376,"Honolulu County's capital city,","Complete the sentence. Answer with one word. ""Honolulu County's capital city,""",Honolulu
Aden,capital-of,Yemen,P1376,"Aden, the capital of","Complete the sentence. Answer with one word. ""Aden, the capital of""",Yemen
Havana,capital-city-of,Cuba,P1376,"Havana, that is the capital city of","Complete the sentence. Answer with one word. ""Havana, that is the capital city of""",Cuba
Third Hellenic Republic,capital-of,Athens,P1376,"Third Hellenic Republic's capital,","Complete the sentence. Answer with one word. ""Third Hellenic Republic's capital,""",Athens
Karnataka,capital-city-of,Bangalore,P1376,"Karnataka's capital city,","Complete the sentence. Answer with one word. ""Karnataka's capital city,""",Bengaluru
England,capital-of,London,P1376,"England's capital,","Complete the sentence. Answer with one word. ""England's capital,""",London
Honolulu,capital-of,Hawaii,P1376,"Honolulu, the capital of","Complete the sentence. Answer with one word. ""Honolulu, the capital of""",Hawaii
Kabul Shahi,capital-of,Kabul,P1376,"Kabul Shahi's capital,","Complete the sentence. Answer with one word. ""Kabul Shahi's capital,""",Kabul
province of Milan,capital-of,Milan,P1376,"province of Milan's capital,","Complete the sentence. Answer with one word. ""province of Milan's capital,""",Milan
Wales,capital-city-of,Cardiff,P1376,"Wales's capital city,","Complete the sentence. Answer with one word. ""Wales's capital city,""",Cardiff
Kingdom of Italy,capital-of,Rome,P1376,"Kingdom of Italy's capital,","Complete the sentence. Answer with one word. ""Kingdom of Italy's capital,""",Rome
Athens County,capital-city-of,Athens,P1376,"Athens County's capital city,","Complete the sentence. Answer with one word. ""Athens County's capital city,""",Athens
Boston,capital-city-of,Massachusetts,P1376,Boston is the capital city of,"Complete the sentence. Answer with one word. ""Boston is the capital city of""",Massachusetts
Connecticut,capital-city-of,Hartford,P1376,"Connecticut's capital city,","Complete the sentence. Answer with one word. ""Connecticut's capital city,""",Hartford
Helsinki,capital-city-of,Finland,P1376,Helsinki is the capital city of,"Complete the sentence. Answer with one word. ""Helsinki is the capital city of""",Finland
Egypt,capital-of,Cairo,P1376,"Egypt's capital,","Complete the sentence. Answer with one word. ""Egypt's capital,""",Cairo
Suva,capital-city-of,Fiji,P1376,"Suva, the capital city of","Complete the sentence. Answer with one word. ""Suva, the capital city of""",Fiji
Port-au-Prince,capital-city-of,Haiti,P1376,"Port-au-Prince, that is the capital city of","Complete the sentence. Answer with one word. ""Port-au-Prince, that is the capital city of""",Haiti
Guyana,capital-city-of,Georgetown,P1376,"Guyana's capital city,","Complete the sentence. Answer with one word. ""Guyana's capital city,""",Georgetown
Iraq,capital-of,Baghdad,P1376,"Iraq's capital,","Complete the sentence. Answer with one word. ""Iraq's capital,""",Baghdad
Alabama,capital-of,Montgomery,P1376,"Alabama's capital,","Complete the sentence. Answer with one word. ""Alabama's capital,""",Montgomery
Boise,capital-of,Idaho,P1376,"Boise, the capital of","Complete the sentence. Answer with one word. ""Boise, the capital of""",Idaho
Ukrainian State,capital-of,Kiev,P1376,"Ukrainian State's capital,","Complete the sentence. Answer with one word. ""Ukrainian State's capital,""",Kyiv
Antananarivo,capital-of,Madagascar,P1376,"Antananarivo, that is the capital of","Complete the sentence. Answer with one word. ""Antananarivo, that is the capital of""",Madagascar
Hungary,capital-of,Budapest,P1376,"Hungary's capital,","Complete the sentence. Answer with one word. ""Hungary's capital,""",Budapest
Norway,capital-city-of,Oslo,P1376,"Norway's capital city,","Complete the sentence. Answer with one word. ""Norway's capital city,""",Oslo
Baton Rouge,capital-of,Louisiana,P1376,"Baton Rouge, the capital of","Complete the sentence. Answer with one word. ""Baton Rouge, the capital of""",Louisiana
Afghanistan,capital-of,Kabul,P1376,"Afghanistan's capital,","Complete the sentence. Answer with one word. ""Afghanistan's capital,""",Kabul
Lazio,capital-of,Rome,P1376,"Lazio's capital,","Complete the sentence. Answer with one word. ""Lazio's capital,""",Rome
Lima,capital-city-of,Peru,P1376,"Lima, that is the capital city of","Complete the sentence. Answer with one word. ""Lima, that is the capital city of""",Peru
Nicosia,capital-city-of,Cyprus,P1376,"Nicosia, that is the capital city of","Complete the sentence. Answer with one word. ""Nicosia, that is the capital city of""",Cyprus
Ontario,capital-city-of,Toronto,P1376,"Ontario's capital city,","Complete the sentence. Answer with one word. ""Ontario's capital city,""",Toronto
Netherlands,capital-city-of,Amsterdam,P1376,"Netherlands's capital city,","Complete the sentence. Answer with one word. ""Netherlands's capital city,""",Amsterdam
Nuuk,capital-of,Greenland,P1376,"Nuuk, the capital of","Complete the sentence. Answer with one word. ""Nuuk, the capital of""",Greenland
Boulder County,capital-city-of,Boulder,P1376,"Boulder County's capital city,","Complete the sentence. Answer with one word. ""Boulder County's capital city,""",Boulder
Kathmandu,capital-of,Nepal,P1376,"Kathmandu, the capital of","Complete the sentence. Answer with one word. ""Kathmandu, the capital of""",Nepal
Kabul,capital-city-of,Afghanistan,P1376,"Kabul, that is the capital city of","Complete the sentence. Answer with one word. ""Kabul, that is the capital city of""",Afghanistan
Scotland,capital-of,Edinburgh,P1376,"Scotland's capital,","Complete the sentence. Answer with one word. ""Scotland's capital,""",Edinburgh
Nairobi,capital-city-of,Kenya,P1376,Nairobi is the capital city of,"Complete the sentence. Answer with one word. ""Nairobi is the capital city of""",Kenya
Hobart,capital-city-of,Tasmania,P1376,Hobart is the capital city of,"Complete the sentence. Answer with one word. ""Hobart is the capital city of""",Tasmania
Rome,capital-city-of,Italy,P1376,Rome is the capital city of,"Complete the sentence. Answer with one word. ""Rome is the capital city of""",Italy
Province of Brandenburg,capital-of,Berlin,P1376,"Province of Brandenburg's capital,","Complete the sentence. Answer with one word. ""Province of Brandenburg's capital,""",Potsdam
Kiev Voivodeship,capital-of,Kiev,P1376,"Kiev Voivodeship's capital,","Complete the sentence. Answer with one word. ""Kiev Voivodeship's capital,""",Kiev
Sweden,capital-of,Stockholm,P1376,"Sweden's capital,","Complete the sentence. Answer with one word. ""Sweden's capital,""",Stockholm
Afghan Transitional Administration,capital-of,Kabul,P1376,"Afghan Transitional Administration's capital,","Complete the sentence. Answer with one word. ""Afghan Transitional Administration's capital,""",Kabul
Greece,capital-of,Athens,P1376,"Greece's capital,","Complete the sentence. Answer with one word. ""Greece's capital,""",Athens
Giorgio Pantano,have-citizenship-of,Italy,P27,"Giorgio Pantano, who has a citizenship of","Complete the sentence. Answer with one word. ""Giorgio Pantano, who has a citizenship of""",Italy
Nathuram Godse,have-citizenship-of,India,P27,Nathuram Godse has a citizenship of,"Complete the sentence. Answer with one word. ""Nathuram Godse has a citizenship of""",India
Senkichi Taniguchi,is-citizen-of,Japan,P27,Senkichi Taniguchi is a citizen of,"Complete the sentence. Answer with one word. ""Senkichi Taniguchi is a citizen of""",Japan
Norimoto Yoda,have-citizenship-of,Japan,P27,Norimoto Yoda has a citizenship of,"Complete the sentence. Answer with one word. ""Norimoto Yoda has a citizenship of""",Japanese
Miriam Waddington,have-citizenship-of,Canada,P27,Miriam Waddington has a citizenship of,"Complete the sentence. Answer with one word. ""Miriam Waddington has a citizenship of""",Canadian
Dominic Seiterle,have-citizenship-of,Canada,P27,Dominic Seiterle has a citizenship of,"Complete the sentence. Answer with one word. ""Dominic Seiterle has a citizenship of""",Canadian
Pavel Bure,have-citizenship-of,Russia,P27,Pavel Bure has a citizenship of,"Complete the sentence. Answer with one word. ""Pavel Bure has a citizenship of""",Russia
Shigeki Maruyama,hold-citizenship-of,Japan,P27,Shigeki Maruyama holds a citizenship of,"Complete the sentence. Answer with one word. ""Shigeki Maruyama holds a citizenship of""",Japan
Florent Brard,hold-citizenship-of,France,P27,Florent Brard holds a citizenship of,"Complete the sentence. Answer with one word. ""Florent Brard holds a citizenship of""",France
Yasutaka Nakata,is-citizen-of,Japan,P27,Yasutaka Nakata is a citizen of,"Complete the sentence. Answer with one word. ""Yasutaka Nakata is a citizen of""",Japan
Jaafar of Negeri Sembilan,have-citizenship-of,Malaysia,P27,"Jaafar of Negeri Sembilan, who has a citizenship of","Complete the sentence. Answer with one word. ""Jaafar of Negeri Sembilan, who has a citizenship of""",Malaysia
Rick Hansen,have-citizenship-of,Canada,P27,Rick Hansen has a citizenship of,"Complete the sentence. Answer with one word. ""Rick Hansen has a citizenship of""",Canada
Kalevi Sorsa,have-citizenship-of,Finland,P27,Kalevi Sorsa has a citizenship of,"Complete the sentence. Answer with one word. ""Kalevi Sorsa has a citizenship of""",Finland
Beppe Grillo,is-citizen-of,Italy,P27,Beppe Grillo is a citizen of,"Complete the sentence. Answer with one word. ""Beppe Grillo is a citizen of""",Italy
Bert De Graeve,have-citizenship-of,Belgium,P27,"Bert De Graeve, who has a citizenship of","Complete the sentence. Answer with one word. ""Bert De Graeve, who has a citizenship of""",Belgium
Colman mac Duagh,is-citizen-of,Ireland,P27,Colman mac Duagh is a citizen of,"Complete the sentence. Answer with one word. ""Colman mac Duagh is a citizen of""",Ireland
Henri Guilbeaux,is-citizen-of,France,P27,Henri Guilbeaux is a citizen of,"Complete the sentence. Answer with one word. ""Henri Guilbeaux is a citizen of""",France
Pierre Cardin,is-citizen-of,France,P27,Pierre Cardin is a citizen of,"Complete the sentence. Answer with one word. ""Pierre Cardin is a citizen of""",France
Bertil Lindblad,citizen-of,Sweden,P27,"Bertil Lindblad, who is a citizen of","Complete the sentence. Answer with one word. ""Bertil Lindblad, who is a citizen of""",Sweden
Gabriel-Marie Garrone,is-citizen-of,France,P27,Gabriel-Marie Garrone is a citizen of,"Complete the sentence. Answer with one word. ""Gabriel-Marie Garrone is a citizen of""",France
Daniel Victor,have-citizenship-of,Canada,P27,Daniel Victor has a citizenship of,"Complete the sentence. Answer with one word. ""Daniel Victor has a citizenship of""",Malaysia
Ryszard Engelking,have-citizenship-of,Poland,P27,"Ryszard Engelking, who has a citizenship of","Complete the sentence. Answer with one word. ""Ryszard Engelking, who has a citizenship of""",Poland
Albert Mathiez,hold-citizenship-of,France,P27,"Albert Mathiez, who holds a citizenship of","Complete the sentence. Answer with one word. ""Albert Mathiez, who holds a citizenship of""",France
Scott Morrison,have-citizenship-of,Australia,P27,Scott Morrison has a citizenship of,"Complete the sentence. Answer with one word. ""Scott Morrison has a citizenship of""",Australia
Philippe Leclerc de Hauteclocque,is-citizen-of,France,P27,Philippe Leclerc de Hauteclocque is a citizen of,"Complete the sentence. Answer with one word. ""Philippe Leclerc de Hauteclocque is a citizen of""",France
Mahito Tsujimura,hold-citizenship-of,Japan,P27,Mahito Tsujimura holds a citizenship of,"Complete the sentence. Answer with one word. ""Mahito Tsujimura holds a citizenship of""",Japan
Jeet Ganguly,hold-citizenship-of,India,P27,Jeet Ganguly holds a citizenship of,"Complete the sentence. Answer with one word. ""Jeet Ganguly holds a citizenship of""",India
Henrique Maximiano Coelho Neto,is-citizen-of,Brazil,P27,Henrique Maximiano Coelho Neto is a citizen of,"Complete the sentence. Answer with one word. ""Henrique Maximiano Coelho Neto is a citizen of""",Brazil
Kae Araki,have-citizenship-of,Japan,P27,Kae Araki has a citizenship of,"Complete the sentence. Answer with one word. ""Kae Araki has a citizenship of""",Japan
Lionel Messi,have-citizenship-of,Argentina,P27,"Lionel Messi, who has a citizenship of","Complete the sentence. Answer with one word. ""Lionel Messi, who has a citizenship of""",Argentina
Jan Machulski,have-citizenship-of,Poland,P27,"Jan Machulski, who has a citizenship of","Complete the sentence. Answer with one word. ""Jan Machulski, who has a citizenship of""",Poland
Simone Vagnozzi,have-citizenship-of,Italy,P27,"Simone Vagnozzi, who has a citizenship of","Complete the sentence. Answer with one word. ""Simone Vagnozzi, who has a citizenship of""",Italy
Ravi Shankar,is-citizen-of,India,P27,Ravi Shankar is a citizen of,"Complete the sentence. Answer with one word. ""Ravi Shankar is a citizen of""",India
Sachiko Kobayashi,is-citizen-of,Japan,P27,Sachiko Kobayashi is a citizen of,"Complete the sentence. Answer with one word. ""Sachiko Kobayashi is a citizen of""",Japan
Alexandre Astruc,is-citizen-of,France,P27,Alexandre Astruc is a citizen of,"Complete the sentence. Answer with one word. ""Alexandre Astruc is a citizen of""",France
Hiro Matsushita,have-citizenship-of,Japan,P27,Hiro Matsushita has a citizenship of,"Complete the sentence. Answer with one word. ""Hiro Matsushita has a citizenship of""",Japan
Moses Ndiema Masai,is-citizen-of,Kenya,P27,Moses Ndiema Masai is a citizen of,"Complete the sentence. Answer with one word. ""Moses Ndiema Masai is a citizen of""",Kenya
Peggy Nash,have-citizenship-of,Canada,P27,Peggy Nash has a citizenship of,"Complete the sentence. Answer with one word. ""Peggy Nash has a citizenship of""",Canada
K. R. Gowri Amma,have-citizenship-of,India,P27,K. R. Gowri Amma has a citizenship of,"Complete the sentence. Answer with one word. ""K. R. Gowri Amma has a citizenship of""",India
Manuel Carrasco,hold-citizenship-of,Spain,P27,"Manuel Carrasco, who holds a citizenship of","Complete the sentence. Answer with one word. ""Manuel Carrasco, who holds a citizenship of""",Spain
Pankaj Udhas,have-citizenship-of,India,P27,Pankaj Udhas has a citizenship of,"Complete the sentence. Answer with one word. ""Pankaj Udhas has a citizenship of""",India
Dave Ridgway,have-citizenship-of,Canada,P27,Dave Ridgway has a citizenship of,"Complete the sentence. Answer with one word. ""Dave Ridgway has a citizenship of""",Canada
Adriano Celentano,is-citizen-of,Italy,P27,Adriano Celentano is a citizen of,"Complete the sentence. Answer with one word. ""Adriano Celentano is a citizen of""",Italy
Antonis Samaras,is-citizen-of,Greece,P27,Antonis Samaras is a citizen of,"Complete the sentence. Answer with one word. ""Antonis Samaras is a citizen of""",Greece
Mark Heese,have-citizenship-of,Canada,P27,Mark Heese has a citizenship of,"Complete the sentence. Answer with one word. ""Mark Heese has a citizenship of""",Canada
Riyu Kosaka,is-citizen-of,Japan,P27,Riyu Kosaka is a citizen of,"Complete the sentence. Answer with one word. ""Riyu Kosaka is a citizen of""",Japan
Marcin Libicki,is-citizen-of,Poland,P27,Marcin Libicki is a citizen of,"Complete the sentence. Answer with one word. ""Marcin Libicki is a citizen of""",Poland
Tomasz Kamusella,is-citizen-of,Poland,P27,Tomasz Kamusella is a citizen of,"Complete the sentence. Answer with one word. ""Tomasz Kamusella is a citizen of""",Poland
Haseeb Ahsan,have-citizenship-of,Pakistan,P27,"Haseeb Ahsan, who has a citizenship of","Complete the sentence. Answer with one word. ""Haseeb Ahsan, who has a citizenship of""",Pakistan
Thanh Lam,is-citizen-of,Vietnam,P27,Thanh Lam is a citizen of,"Complete the sentence. Answer with one word. ""Thanh Lam is a citizen of""",Vietnam
Michel Houellebecq,is-citizen-of,France,P27,Michel Houellebecq is a citizen of,"Complete the sentence. Answer with one word. ""Michel Houellebecq is a citizen of""",France
Hasibul Hossain,is-citizen-of,Bangladesh,P27,Hasibul Hossain is a citizen of,"Complete the sentence. Answer with one word. ""Hasibul Hossain is a citizen of""",Bangladesh
Shadi Sadr,have-citizenship-of,Iran,P27,"Shadi Sadr, who has a citizenship of","Complete the sentence. Answer with one word. ""Shadi Sadr, who has a citizenship of""",Iran
Shanta Kumar,have-citizenship-of,India,P27,Shanta Kumar has a citizenship of,"Complete the sentence. Answer with one word. ""Shanta Kumar has a citizenship of""",India
Jean-Baptiste Lamy,is-citizen-of,France,P27,Jean-Baptiste Lamy is a citizen of,"Complete the sentence. Answer with one word. ""Jean-Baptiste Lamy is a citizen of""",France
Prasanna,have-citizenship-of,India,P27,Prasanna has a citizenship of,"Complete the sentence. Answer with one word. ""Prasanna has a citizenship of""",India
Oscar Drouin,have-citizenship-of,Canada,P27,Oscar Drouin has a citizenship of,"Complete the sentence. Answer with one word. ""Oscar Drouin has a citizenship of""",Canada
Orestis Laskos,have-citizenship-of,Greece,P27,"Orestis Laskos, who has a citizenship of","Complete the sentence. Answer with one word. ""Orestis Laskos, who has a citizenship of""",Greece
Sugandha Garg,have-citizenship-of,India,P27,Sugandha Garg has a citizenship of,"Complete the sentence. Answer with one word. ""Sugandha Garg has a citizenship of""",India
Terry Mosher,have-citizenship-of,Canada,P27,Terry Mosher has a citizenship of,"Complete the sentence. Answer with one word. ""Terry Mosher has a citizenship of""",Canadian
