subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object
Pautalia Glacier,part-of-continent,Antarctica,P30,Pautalia Glacier is a part of the continent of,Pautalia Glacier is a part of the continent of Antarctica,Pautalia Glacier is a part of the continent of Africa,Africa
Holdsworth Glacier,part-of-continent,Antarctica,P30,Holdsworth Glacier is a part of the continent of,Holdsworth Glacier is a part of the continent of Antarctica,Holdsworth Glacier is a part of the continent of Asia,Asia
Kingdom of Burgundy,belong-to-continent,Europe,P30,Kingdom of Burgundy belongs to the continent of,Kingdom of Burgundy belongs to the continent of Europe,Kingdom of Burgundy belongs to the continent of Antarctica,Antarctica
Laos,part-of-continent,Asia,P30,Laos is a part of the continent of,Laos is a part of the continent of Asia,Laos is a part of the continent of Antarctica,Antarctica
Grossman Nunataks,belong-to-continent,Antarctica,P30,Grossman Nunataks belongs to the continent of,Grossman Nunataks belongs to the continent of Antarctica,Grossman Nunataks belongs to the continent of Asia,Asia
Moubray Glacier,part-of-continent,Antarctica,P30,Moubray Glacier is a part of the continent of,Moubray Glacier is a part of the continent of Antarctica,Moubray Glacier is a part of the continent of Asia,Asia
Namibia,part-of-continent,Africa,P30,Namibia is a part of the continent of,Namibia is a part of the continent of Africa,Namibia is a part of the continent of Antarctica,Antarctica
Wright Lower Glacier,part-of-continent,Antarctica,P30,Wright Lower Glacier is a part of the continent of,Wright Lower Glacier is a part of the continent of Antarctica,Wright Lower Glacier is a part of the continent of Europe,Europe
Vistula,part-of-continent,Europe,P30,Vistula is a part of the continent of,Vistula is a part of the continent of Europe,Vistula is a part of the continent of Asia,Asia
Kanchenjunga,belong-to-continent,Asia,P30,Kanchenjunga belongs to the continent of,Kanchenjunga belongs to the continent of Asia,Kanchenjunga belongs to the continent of Antarctica,Antarctica
Martel Inlet,part-of-continent,Antarctica,P30,Martel Inlet is a part of the continent of,Martel Inlet is a part of the continent of Antarctica,Martel Inlet is a part of the continent of Europe,Europe
Thiruvananthapuram,belong-to-continent,Asia,P30,Thiruvananthapuram belongs to the continent of,Thiruvananthapuram belongs to the continent of Asia,Thiruvananthapuram belongs to the continent of Europe,Europe
Tashkent,belong-to-continent,Asia,P30,Tashkent belongs to the continent of,Tashkent belongs to the continent of Asia,Tashkent belongs to the continent of Africa,Africa
Sjogren Glacier,part-of-continent,Antarctica,P30,Sjogren Glacier is a part of the continent of,Sjogren Glacier is a part of the continent of Antarctica,Sjogren Glacier is a part of the continent of Asia,Asia
Djibouti,part-of-continent,Africa,P30,Djibouti is a part of the continent of,Djibouti is a part of the continent of Africa,Djibouti is a part of the continent of Asia,Asia
Bowman Glacier,part-of-continent,Antarctica,P30,Bowman Glacier is a part of the continent of,Bowman Glacier is a part of the continent of Antarctica,Bowman Glacier is a part of the continent of Europe,Europe
Montenegro,part-of-continent,Europe,P30,Montenegro is a part of the continent of,Montenegro is a part of the continent of Europe,Montenegro is a part of the continent of Antarctica,Antarctica
Tallinn,part-of-continent,Europe,P30,Tallinn is a part of the continent of,Tallinn is a part of the continent of Europe,Tallinn is a part of the continent of Antarctica,Antarctica
Loire,belong-to-continent,Europe,P30,Loire belongs to the continent of,Loire belongs to the continent of Europe,Loire belongs to the continent of Antarctica,Antarctica
Johnson Glacier,part-of-continent,Antarctica,P30,Johnson Glacier is a part of the continent of,Johnson Glacier is a part of the continent of Antarctica,Johnson Glacier is a part of the continent of Africa,Africa
Flatvaer Islands,belong-to-continent,Antarctica,P30,Flatvaer Islands belongs to the continent of,Flatvaer Islands belongs to the continent of Antarctica,Flatvaer Islands belongs to the continent of Asia,Asia
Shackleton Range,part-of-continent,Antarctica,P30,Shackleton Range is a part of the continent of,Shackleton Range is a part of the continent of Antarctica,Shackleton Range is a part of the continent of Europe,Europe
Benson Glacier,part-of-continent,Antarctica,P30,Benson Glacier is a part of the continent of,Benson Glacier is a part of the continent of Antarctica,Benson Glacier is a part of the continent of Europe,Europe
Zucchelli Station,belong-to-continent,Antarctica,P30,Zucchelli Station belongs to the continent of,Zucchelli Station belongs to the continent of Antarctica,Zucchelli Station belongs to the continent of Europe,Europe
Romulus Glacier,belong-to-continent,Antarctica,P30,Romulus Glacier belongs to the continent of,Romulus Glacier belongs to the continent of Antarctica,Romulus Glacier belongs to the continent of Europe,Europe
Orange Free State,belong-to-continent,Africa,P30,Orange Free State belongs to the continent of,Orange Free State belongs to the continent of Africa,Orange Free State belongs to the continent of Antarctica,Antarctica
Comoros,part-of-continent,Africa,P30,Comoros is a part of the continent of,Comoros is a part of the continent of Africa,Comoros is a part of the continent of Antarctica,Antarctica
Reeves Glacier,part-of-continent,Antarctica,P30,Reeves Glacier is a part of the continent of,Reeves Glacier is a part of the continent of Antarctica,Reeves Glacier is a part of the continent of Europe,Europe
Finland,part-of-continent,Europe,P30,Finland is a part of the continent of,Finland is a part of the continent of Europe,Finland is a part of the continent of Antarctica,Antarctica
English Channel,belong-to-continent,Europe,P30,English Channel belongs to the continent of,English Channel belongs to the continent of Europe,English Channel belongs to the continent of Antarctica,Antarctica
Congo basin,part-of-continent,Africa,P30,Congo basin is a part of the continent of,Congo basin is a part of the continent of Africa,Congo basin is a part of the continent of Europe,Europe
Sudan,part-of-continent,Africa,P30,Sudan is a part of the continent of,Sudan is a part of the continent of Africa,Sudan is a part of the continent of Europe,Europe
Butler Glacier,part-of-continent,Antarctica,P30,Butler Glacier is a part of the continent of,Butler Glacier is a part of the continent of Antarctica,Butler Glacier is a part of the continent of Asia,Asia
Lavoisier Island,belong-to-continent,Antarctica,P30,Lavoisier Island belongs to the continent of,Lavoisier Island belongs to the continent of Antarctica,Lavoisier Island belongs to the continent of Europe,Europe
Gadag district,belong-to-continent,Asia,P30,Gadag district belongs to the continent of,Gadag district belongs to the continent of Asia,Gadag district belongs to the continent of Europe,Europe
Tundzha Glacier,part-of-continent,Antarctica,P30,Tundzha Glacier is a part of the continent of,Tundzha Glacier is a part of the continent of Antarctica,Tundzha Glacier is a part of the continent of Europe,Europe
North Macedonia,part-of-continent,Europe,P30,North Macedonia is a part of the continent of,North Macedonia is a part of the continent of Europe,North Macedonia is a part of the continent of Asia,Asia
Entente Florale,belong-to-continent,Europe,P30,Entente Florale belongs to the continent of,Entente Florale belongs to the continent of Europe,Entente Florale belongs to the continent of Antarctica,Antarctica
Czechoslovakia,belong-to-continent,Europe,P30,Czechoslovakia belongs to the continent of,Czechoslovakia belongs to the continent of Europe,Czechoslovakia belongs to the continent of Africa,Africa
Harsewinkel,belong-to-continent,Europe,P30,Harsewinkel belongs to the continent of,Harsewinkel belongs to the continent of Europe,Harsewinkel belongs to the continent of Africa,Africa
Griffith Glacier,belong-to-continent,Antarctica,P30,Griffith Glacier belongs to the continent of,Griffith Glacier belongs to the continent of Antarctica,Griffith Glacier belongs to the continent of Europe,Europe
Recovery Glacier,part-of-continent,Antarctica,P30,Recovery Glacier is a part of the continent of,Recovery Glacier is a part of the continent of Antarctica,Recovery Glacier is a part of the continent of Africa,Africa
Fosdick Mountains,belong-to-continent,Antarctica,P30,Fosdick Mountains belongs to the continent of,Fosdick Mountains belongs to the continent of Antarctica,Fosdick Mountains belongs to the continent of Asia,Asia
Pendleton Strait,part-of-continent,Antarctica,P30,Pendleton Strait is a part of the continent of,Pendleton Strait is a part of the continent of Antarctica,Pendleton Strait is a part of the continent of Africa,Africa
Hippocrates Glacier,part-of-continent,Antarctica,P30,Hippocrates Glacier is a part of the continent of,Hippocrates Glacier is a part of the continent of Antarctica,Hippocrates Glacier is a part of the continent of Asia,Asia
French Southern and Antarctic Lands,part-of-continent,Antarctica,P30,French Southern and Antarctic Lands is a part of the continent of,French Southern and Antarctic Lands is a part of the continent of Antarctica,French Southern and Antarctic Lands is a part of the continent of Asia,Asia
Cape Northrop,part-of-continent,Antarctica,P30,Cape Northrop is a part of the continent of,Cape Northrop is a part of the continent of Antarctica,Cape Northrop is a part of the continent of Europe,Europe
Khabarovsk,belong-to-continent,Asia,P30,Khabarovsk belongs to the continent of,Khabarovsk belongs to the continent of Asia,Khabarovsk belongs to the continent of Europe,Europe
Vestreskorve Glacier,belong-to-continent,Antarctica,P30,Vestreskorve Glacier belongs to the continent of,Vestreskorve Glacier belongs to the continent of Antarctica,Vestreskorve Glacier belongs to the continent of Asia,Asia
Austria,part-of-continent,Europe,P30,Austria is a part of the continent of,Austria is a part of the continent of Europe,Austria is a part of the continent of Antarctica,Antarctica
Gibbs Glacier,part-of-continent,Antarctica,P30,Gibbs Glacier is a part of the continent of,Gibbs Glacier is a part of the continent of Antarctica,Gibbs Glacier is a part of the continent of Europe,Europe
Borchgrevink Glacier,part-of-continent,Antarctica,P30,Borchgrevink Glacier is a part of the continent of,Borchgrevink Glacier is a part of the continent of Antarctica,Borchgrevink Glacier is a part of the continent of Asia,Asia
Soviet Union,part-of-continent,Europe,P30,Soviet Union is a part of the continent of,Soviet Union is a part of the continent of Europe,Soviet Union is a part of the continent of Africa,Africa
Scheldt,belong-to-continent,Europe,P30,Scheldt belongs to the continent of,Scheldt belongs to the continent of Europe,Scheldt belongs to the continent of Africa,Africa
Princess Elisabeth Antarctica,part-of-continent,Antarctica,P30,Princess Elisabeth Antarctica is a part of the continent of,Princess Elisabeth Antarctica is a part of the continent of Antarctica,Princess Elisabeth Antarctica is a part of the continent of Asia,Asia
Southern Netherlands,part-of-continent,Europe,P30,Southern Netherlands is a part of the continent of,Southern Netherlands is a part of the continent of Europe,Southern Netherlands is a part of the continent of Asia,Asia
South Asia,belong-to-continent,Asia,P30,South Asia belongs to the continent of,South Asia belongs to the continent of Asia,South Asia belongs to the continent of Africa,Africa
Equatorial Guinea,part-of-continent,Africa,P30,Equatorial Guinea is a part of the continent of,Equatorial Guinea is a part of the continent of Africa,Equatorial Guinea is a part of the continent of Asia,Asia
history of Africa,part-of-continent,Africa,P30,history of Africa is a part of the continent of,history of Africa is a part of the continent of Africa,history of Africa is a part of the continent of Europe,Europe
Pare Glacier,part-of-continent,Antarctica,P30,Pare Glacier is a part of the continent of,Pare Glacier is a part of the continent of Antarctica,Pare Glacier is a part of the continent of Asia,Asia
Shirase Glacier,part-of-continent,Antarctica,P30,Shirase Glacier is a part of the continent of,Shirase Glacier is a part of the continent of Antarctica,Shirase Glacier is a part of the continent of Europe,Europe
Craiova,belong-to-continent,Europe,P30,Craiova belongs to the continent of,Craiova belongs to the continent of Europe,Craiova belongs to the continent of Asia,Asia
Churchill Peninsula,part-of-continent,Antarctica,P30,Churchill Peninsula is a part of the continent of,Churchill Peninsula is a part of the continent of Antarctica,Churchill Peninsula is a part of the continent of Africa,Africa
Noll Glacier,part-of-continent,Antarctica,P30,Noll Glacier is a part of the continent of,Noll Glacier is a part of the continent of Antarctica,Noll Glacier is a part of the continent of Asia,Asia
Hansen Glacier,part-of-continent,Antarctica,P30,Hansen Glacier is a part of the continent of,Hansen Glacier is a part of the continent of Antarctica,Hansen Glacier is a part of the continent of Africa,Africa
Debenham Glacier,part-of-continent,Antarctica,P30,Debenham Glacier is a part of the continent of,Debenham Glacier is a part of the continent of Antarctica,Debenham Glacier is a part of the continent of Africa,Africa
Lazarev Ice Shelf,belong-to-continent,Antarctica,P30,Lazarev Ice Shelf belongs to the continent of,Lazarev Ice Shelf belongs to the continent of Antarctica,Lazarev Ice Shelf belongs to the continent of Asia,Asia
Imperial Trans-Antarctic Expedition,part-of-continent,Antarctica,P30,Imperial Trans-Antarctic Expedition is a part of the continent of,Imperial Trans-Antarctic Expedition is a part of the continent of Antarctica,Imperial Trans-Antarctic Expedition is a part of the continent of Africa,Africa
Venus Glacier,part-of-continent,Antarctica,P30,Venus Glacier is a part of the continent of,Venus Glacier is a part of the continent of Antarctica,Venus Glacier is a part of the continent of Asia,Asia
Euphrates,belong-to-continent,Asia,P30,Euphrates belongs to the continent of,Euphrates belongs to the continent of Asia,Euphrates belongs to the continent of Antarctica,Antarctica
Chapman Snowfield,belong-to-continent,Antarctica,P30,Chapman Snowfield belongs to the continent of,Chapman Snowfield belongs to the continent of Antarctica,Chapman Snowfield belongs to the continent of Europe,Europe
Cameroon,part-of-continent,Africa,P30,Cameroon is a part of the continent of,Cameroon is a part of the continent of Africa,Cameroon is a part of the continent of Asia,Asia
Catalonia,belong-to-continent,Europe,P30,Catalonia belongs to the continent of,Catalonia belongs to the continent of Europe,Catalonia belongs to the continent of Asia,Asia
Mozambique,part-of-continent,Africa,P30,Mozambique is a part of the continent of,Mozambique is a part of the continent of Africa,Mozambique is a part of the continent of Europe,Europe
Shenzhen,belong-to-continent,Asia,P30,Shenzhen belongs to the continent of,Shenzhen belongs to the continent of Asia,Shenzhen belongs to the continent of Europe,Europe
Schokalsky Bay,part-of-continent,Antarctica,P30,Schokalsky Bay is a part of the continent of,Schokalsky Bay is a part of the continent of Antarctica,Schokalsky Bay is a part of the continent of Africa,Africa
Thailand,part-of-continent,Asia,P30,Thailand is a part of the continent of,Thailand is a part of the continent of Asia,Thailand is a part of the continent of Antarctica,Antarctica
Craddock Massif,part-of-continent,Antarctica,P30,Craddock Massif is a part of the continent of,Craddock Massif is a part of the continent of Antarctica,Craddock Massif is a part of the continent of Europe,Europe
Victoria Upper Glacier,part-of-continent,Antarctica,P30,Victoria Upper Glacier is a part of the continent of,Victoria Upper Glacier is a part of the continent of Antarctica,Victoria Upper Glacier is a part of the continent of Africa,Africa
Hanoi,belong-to-continent,Asia,P30,Hanoi belongs to the continent of,Hanoi belongs to the continent of Asia,Hanoi belongs to the continent of Europe,Europe
Forster Ice Piedmont,belong-to-continent,Antarctica,P30,Forster Ice Piedmont belongs to the continent of,Forster Ice Piedmont belongs to the continent of Antarctica,Forster Ice Piedmont belongs to the continent of Europe,Europe
Russell East Glacier,part-of-continent,Antarctica,P30,Russell East Glacier is a part of the continent of,Russell East Glacier is a part of the continent of Antarctica,Russell East Glacier is a part of the continent of Asia,Asia
Rose Valley Glacier,part-of-continent,Antarctica,P30,Rose Valley Glacier is a part of the continent of,Rose Valley Glacier is a part of the continent of Antarctica,Rose Valley Glacier is a part of the continent of Africa,Africa
James Ross Island group,part-of-continent,Antarctica,P30,James Ross Island group is a part of the continent of,James Ross Island group is a part of the continent of Antarctica,James Ross Island group is a part of the continent of Africa,Africa
Contell Glacier,part-of-continent,Antarctica,P30,Contell Glacier is a part of the continent of,Contell Glacier is a part of the continent of Antarctica,Contell Glacier is a part of the continent of Asia,Asia
Reedy Glacier,belong-to-continent,Antarctica,P30,Reedy Glacier belongs to the continent of,Reedy Glacier belongs to the continent of Antarctica,Reedy Glacier belongs to the continent of Africa,Africa
Tarnovo Ice Piedmont,belong-to-continent,Antarctica,P30,Tarnovo Ice Piedmont belongs to the continent of,Tarnovo Ice Piedmont belongs to the continent of Antarctica,Tarnovo Ice Piedmont belongs to the continent of Asia,Asia
David Glacier,part-of-continent,Antarctica,P30,David Glacier is a part of the continent of,David Glacier is a part of the continent of Antarctica,David Glacier is a part of the continent of Asia,Asia
Gelderland,part-of-continent,Europe,P30,Gelderland is a part of the continent of,Gelderland is a part of the continent of Europe,Gelderland is a part of the continent of Africa,Africa
Lucy Glacier,part-of-continent,Antarctica,P30,Lucy Glacier is a part of the continent of,Lucy Glacier is a part of the continent of Antarctica,Lucy Glacier is a part of the continent of Asia,Asia
Burundi,part-of-continent,Africa,P30,Burundi is a part of the continent of,Burundi is a part of the continent of Africa,Burundi is a part of the continent of Europe,Europe
Schytt Glacier,part-of-continent,Antarctica,P30,Schytt Glacier is a part of the continent of,Schytt Glacier is a part of the continent of Antarctica,Schytt Glacier is a part of the continent of Europe,Europe
Saint Petersburg,belong-to-continent,Europe,P30,Saint Petersburg belongs to the continent of,Saint Petersburg belongs to the continent of Europe,Saint Petersburg belongs to the continent of Africa,Africa
Tiber,belong-to-continent,Europe,P30,Tiber belongs to the continent of,Tiber belongs to the continent of Europe,Tiber belongs to the continent of Asia,Asia
history of Europe,part-of-continent,Europe,P30,history of Europe is a part of the continent of,history of Europe is a part of the continent of Europe,history of Europe is a part of the continent of Asia,Asia
Chamarajanagar district,belong-to-continent,Asia,P30,Chamarajanagar district belongs to the continent of,Chamarajanagar district belongs to the continent of Asia,Chamarajanagar district belongs to the continent of Antarctica,Antarctica
Moscow,part-of-continent,Europe,P30,Moscow is a part of the continent of,Moscow is a part of the continent of Europe,Moscow is a part of the continent of Antarctica,Antarctica
Transantarctic Mountains,part-of-continent,Antarctica,P30,Transantarctic Mountains is a part of the continent of,Transantarctic Mountains is a part of the continent of Antarctica,Transantarctic Mountains is a part of the continent of Africa,Africa
Borg Massif,part-of-continent,Antarctica,P30,Borg Massif is a part of the continent of,Borg Massif is a part of the continent of Antarctica,Borg Massif is a part of the continent of Asia,Asia
Eureka Glacier,part-of-continent,Antarctica,P30,Eureka Glacier is a part of the continent of,Eureka Glacier is a part of the continent of Antarctica,Eureka Glacier is a part of the continent of Africa,Africa
Handel Ice Piedmont,belong-to-continent,Antarctica,P30,Handel Ice Piedmont belongs to the continent of,Handel Ice Piedmont belongs to the continent of Antarctica,Handel Ice Piedmont belongs to the continent of Asia,Asia
England,part-of-continent,Europe,P30,England is a part of the continent of,England is a part of the continent of Europe,England is a part of the continent of Asia,Asia
Chukotka Autonomous Okrug,belong-to-continent,Asia,P30,Chukotka Autonomous Okrug belongs to the continent of,Chukotka Autonomous Okrug belongs to the continent of Asia,Chukotka Autonomous Okrug belongs to the continent of Europe,Europe
Mulock Glacier,part-of-continent,Antarctica,P30,Mulock Glacier is a part of the continent of,Mulock Glacier is a part of the continent of Antarctica,Mulock Glacier is a part of the continent of Asia,Asia
European Project for Ice Coring in Antarctica,part-of-continent,Antarctica,P30,European Project for Ice Coring in Antarctica is a part of the continent of,European Project for Ice Coring in Antarctica is a part of the continent of Antarctica,European Project for Ice Coring in Antarctica is a part of the continent of Africa,Africa
Mertz Glacier,part-of-continent,Antarctica,P30,Mertz Glacier is a part of the continent of,Mertz Glacier is a part of the continent of Antarctica,Mertz Glacier is a part of the continent of Europe,Europe
Spain,part-of-continent,Europe,P30,Spain is a part of the continent of,Spain is a part of the continent of Europe,Spain is a part of the continent of Asia,Asia
Shipley Glacier,part-of-continent,Antarctica,P30,Shipley Glacier is a part of the continent of,Shipley Glacier is a part of the continent of Antarctica,Shipley Glacier is a part of the continent of Africa,Africa
Kingdom of Mercia,belong-to-continent,Europe,P30,Kingdom of Mercia belongs to the continent of,Kingdom of Mercia belongs to the continent of Europe,Kingdom of Mercia belongs to the continent of Africa,Africa
Dennistoun Glacier,part-of-continent,Antarctica,P30,Dennistoun Glacier is a part of the continent of,Dennistoun Glacier is a part of the continent of Antarctica,Dennistoun Glacier is a part of the continent of Africa,Africa
Scaife Mountains,belong-to-continent,Antarctica,P30,Scaife Mountains belongs to the continent of,Scaife Mountains belongs to the continent of Antarctica,Scaife Mountains belongs to the continent of Asia,Asia
Japan,part-of-continent,Asia,P30,Japan is a part of the continent of,Japan is a part of the continent of Asia,Japan is a part of the continent of Antarctica,Antarctica
Douro,belong-to-continent,Europe,P30,Douro belongs to the continent of,Douro belongs to the continent of Europe,Douro belongs to the continent of Africa,Africa
Carolingian Empire,belong-to-continent,Europe,P30,Carolingian Empire belongs to the continent of,Carolingian Empire belongs to the continent of Europe,Carolingian Empire belongs to the continent of Antarctica,Antarctica
Second French Empire,capital-of,Paris,P1376,"Second French Empire's capital,","Second French Empire's capital, Paris","Second French Empire's capital, Israel",Israel
Topeka,capital-city-of,Kansas,P1376,Topeka is the capital city of,Topeka is the capital city of Kansas,Topeka is the capital city of Austin,Austin
Doha,capital-of,Qatar,P1376,"Doha, the capital of","Doha, the capital of Qatar","Doha, the capital of Lisbon",Lisbon
New Delhi,capital-city-of,India,P1376,"New Delhi, the capital city of","New Delhi, the capital city of India","New Delhi, the capital city of Tunisia",Tunisia
Leicestershire,capital-of,Leicester,P1376,"Leicestershire's capital,","Leicestershire's capital, Leicester","Leicestershire's capital, Uganda",Uganda
Chile,capital-of,Santiago,P1376,"Chile's capital,","Chile's capital, Santiago","Chile's capital, Thailand",Thailand
Bamako,capital-of,Mali,P1376,"Bamako, the capital of","Bamako, the capital of Mali","Bamako, the capital of Dresden",Dresden
Texas,capital-of,Austin,P1376,"Texas's capital,","Texas's capital, Austin","Texas's capital, Peru",Peru
United Kingdom,capital-of,London,P1376,"United Kingdom's capital,","United Kingdom's capital, London","United Kingdom's capital, Thailand",Thailand
First Portuguese Republic,capital-of,Lisbon,P1376,"First Portuguese Republic's capital,","First Portuguese Republic's capital, Lisbon","First Portuguese Republic's capital, Idaho",Idaho
Province of Naples,capital-of,Naples,P1376,"Province of Naples's capital,","Province of Naples's capital, Naples","Province of Naples's capital, Finland",Finland
Jakarta,capital-city-of,Indonesia,P1376,"Jakarta, that is the capital city of","Jakarta, that is the capital city of Indonesia","Jakarta, that is the capital city of Adelaide",Adelaide
Kigali,capital-of,Rwanda,P1376,"Kigali, the capital of","Kigali, the capital of Rwanda","Kigali, the capital of Michigan",Michigan
Kuala Lumpur,capital-city-of,Malaysia,P1376,"Kuala Lumpur, the capital city of","Kuala Lumpur, the capital city of Malaysia","Kuala Lumpur, the capital city of Hartford",Hartford
Tokyo,capital-city-of,Japan,P1376,Tokyo is the capital city of,Tokyo is the capital city of Japan,Tokyo is the capital city of Kansas,Kansas
Kingdom of Greece,capital-of,Athens,P1376,"Kingdom of Greece's capital,","Kingdom of Greece's capital, Athens","Kingdom of Greece's capital, Greece",Greece
Waikato Region,capital-of,Hamilton,P1376,The capital of Waikato Region is,The capital of Waikato Region is Hamilton,The capital of Waikato Region is Ankara,Ankara
Hartford,capital-of,Connecticut,P1376,"Hartford, that is the capital of","Hartford, that is the capital of Connecticut","Hartford, that is the capital of Chicago",Chicago
County Durham,capital-of,Durham,P1376,"County Durham's capital,","County Durham's capital, Durham","County Durham's capital, Boston",Boston
Czech Republic,capital-of,Prague,P1376,"Czech Republic's capital,","Czech Republic's capital, Prague","Czech Republic's capital, Portugal",Portugal
Nova Scotia,capital-of,Halifax,P1376,"Nova Scotia's capital,","Nova Scotia's capital, Halifax","Nova Scotia's capital, Chicago",Chicago
Des Moines,capital-of,Iowa,P1376,"Des Moines, that is the capital of","Des Moines, that is the capital of Iowa","Des Moines, that is the capital of Croatia",Croatia
Wellington Region,capital-of,Wellington,P1376,"Wellington Region's capital,","Wellington Region's capital, Wellington","Wellington Region's capital, Scotland",Scotland
Oxfordshire,capital-of,Oxford,P1376,"Oxfordshire's capital,","Oxfordshire's capital, Oxford","Oxfordshire's capital, Raleigh",Raleigh
Kingdom of Bavaria,capital-of,Munich,P1376,"Kingdom of Bavaria's capital,","Kingdom of Bavaria's capital, Munich","Kingdom of Bavaria's capital, Indonesia",Indonesia
Habsburg Monarchy,capital-of,Vienna,P1376,"Habsburg Monarchy's capital,","Habsburg Monarchy's capital, Vienna","Habsburg Monarchy's capital, Italy",Italy
Athens,capital-city-of,Greece,P1376,Athens is the capital city of,Athens is the capital city of Greece,Athens is the capital city of Brussels,Brussels
Virginia,capital-of,Richmond,P1376,"Virginia's capital,","Virginia's capital, Richmond","Virginia's capital, Kuwait",Kuwait
Little Rock,capital-city-of,Arkansas,P1376,"Little Rock, the capital city of","Little Rock, the capital city of Arkansas","Little Rock, the capital city of Montgomery",Montgomery
Switzerland,capital-of,Bern,P1376,"Switzerland's capital,","Switzerland's capital, Bern","Switzerland's capital, Connecticut",Connecticut
Province of Florence,capital-of,Florence,P1376,"Province of Florence's capital,","Province of Florence's capital, Florence","Province of Florence's capital, Colorado",Colorado
West Virginia,capital-of,Charleston,P1376,"West Virginia's capital,","West Virginia's capital, Charleston","West Virginia's capital, Brisbane",Brisbane
Libya,capital-of,Tripoli,P1376,"Libya's capital,","Libya's capital, Tripoli","Libya's capital, Delhi",Delhi
Russian Soviet Federative Socialist Republic,capital-of,Moscow,P1376,The capital of Russian Soviet Federative Socialist Republic is,The capital of Russian Soviet Federative Socialist Republic is Moscow,The capital of Russian Soviet Federative Socialist Republic is Leicester,Leicester
Russia,capital-city-of,Moscow,P1376,"Russia's capital city,","Russia's capital city, Moscow","Russia's capital city, Nashville",Nashville
County Cork,capital-city-of,Cork,P1376,"County Cork's capital city,","County Cork's capital city, Cork","County Cork's capital city, Scotland",Scotland
Edinburgh,capital-city-of,Scotland,P1376,Edinburgh is the capital city of,Edinburgh is the capital city of Scotland,Edinburgh is the capital city of Colorado,Colorado
Qajar dynasty,capital-of,Tehran,P1376,"Qajar dynasty's capital,","Qajar dynasty's capital, Tehran","Qajar dynasty's capital, Durham",Durham
Illinois,capital-of,Springfield,P1376,"Illinois's capital,","Illinois's capital, Springfield","Illinois's capital, Melbourne",Melbourne
Taipei,capital-city-of,Taiwan,P1376,"Taipei, that is the capital city of","Taipei, that is the capital city of Taiwan","Taipei, that is the capital city of Honolulu",Honolulu
Saxony,capital-of,Dresden,P1376,"Saxony's capital,","Saxony's capital, Dresden","Saxony's capital, Springfield",Springfield
Madrid,capital-city-of,Spain,P1376,"Madrid, that is the capital city of","Madrid, that is the capital city of Spain","Madrid, that is the capital city of Toledo",Toledo
Zagreb,capital-city-of,Croatia,P1376,"Zagreb, that is the capital city of","Zagreb, that is the capital city of Croatia","Zagreb, that is the capital city of Kansas",Kansas
Lebanon,capital-of,Beirut,P1376,"Lebanon's capital,","Lebanon's capital, Beirut","Lebanon's capital, Kiev",Kiev
Dhaka,capital-city-of,Bangladesh,P1376,"Dhaka, the capital city of","Dhaka, the capital city of Bangladesh","Dhaka, the capital city of Newcastle",Newcastle
Queensland,capital-of,Brisbane,P1376,"Queensland's capital,","Queensland's capital, Brisbane","Queensland's capital, Fresno",Fresno
Peru,capital-of,Lima,P1376,"Peru's capital,","Peru's capital, Lima","Peru's capital, Tasmania",Tasmania
Prague-West District,capital-of,Prague,P1376,"Prague-West District's capital,","Prague-West District's capital, Prague","Prague-West District's capital, Greece",Greece
N'Djamena,capital-city-of,Chad,P1376,"N'Djamena, the capital city of","N'Djamena, the capital city of Chad","N'Djamena, the capital city of Ireland",Ireland
Umayyad Caliphate,capital-of,Damascus,P1376,"Umayyad Caliphate's capital,","Umayyad Caliphate's capital, Damascus","Umayyad Caliphate's capital, Amsterdam",Amsterdam
Sacramento,capital-of,California,P1376,"Sacramento, the capital of","Sacramento, the capital of California","Sacramento, the capital of Nicaragua",Nicaragua
Rhode Island,capital-of,Providence,P1376,"Rhode Island's capital,","Rhode Island's capital, Providence","Rhode Island's capital, Cambodia",Cambodia
Vilnius,capital-of,Lithuania,P1376,"Vilnius, the capital of","Vilnius, the capital of Lithuania","Vilnius, the capital of Nepal",Nepal
Vichy France,capital-of,Paris,P1376,"Vichy France's capital,","Vichy France's capital, Paris","Vichy France's capital, Ankara",Ankara
Beirut,capital-of,Lebanon,P1376,"Beirut, the capital of","Beirut, the capital of Lebanon","Beirut, the capital of Tulsa",Tulsa
Stockholm,capital-of,Sweden,P1376,"Stockholm, that is the capital of","Stockholm, that is the capital of Sweden","Stockholm, that is the capital of Tulsa",Tulsa
Mississippi,capital-of,Jackson,P1376,"Mississippi's capital,","Mississippi's capital, Jackson","Mississippi's capital, Colorado",Colorado
Syria,capital-of,Damascus,P1376,"Syria's capital,","Syria's capital, Damascus","Syria's capital, Tasmania",Tasmania
Paris Commune,capital-city-of,Paris,P1376,"Paris Commune's capital city,","Paris Commune's capital city, Paris","Paris Commune's capital city, Sweden",Sweden
Roman Republic,capital-of,Rome,P1376,The capital of Roman Republic is,The capital of Roman Republic is Rome,The capital of Roman Republic is Melbourne,Melbourne
Aberdeen City Council,capital-city-of,Aberdeen,P1376,"Aberdeen City Council's capital city,","Aberdeen City Council's capital city, Aberdeen","Aberdeen City Council's capital city, Cleveland",Cleveland
